game_name,metascore,critic_reviews,user_score,user_score_rating,developer,game_genre,num_players,Cheats,rating_number
The Witcher 3: Wild Hunt - Complete Edition,85,65,8.3,564,"Saber Interactive,CD Projekt Red Studio","Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,M
Two Point Hospital,85,25,8.1,68,Two Point Studios,"Simulation,Strategy,Management,Virtual,Career,Business / Tycoon",No Online Multiplayer,On GameFAQs,E10+
Tony Hawk's Pro Skater 1 + 2,85,29,7.1,37,"Vicarious Visions,Turn Me Up Games","Sports,Individual,Skate / Skateboard",Up to 8,On GameFAQs,T
Doki Doki Literature Club Plus!,85,14,8.6,58,Team Salvato,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,M
Pikmin 3 Deluxe,85,93,8.5,175,"Eighting,Nintendo","Strategy,Real-Time,General",No Online Multiplayer,On GameFAQs,E10+
Dragon Quest Builders 2,85,27,8.2,180,Square Enix,"Role-Playing,General,Action Adventure,Sandbox",Up to 4,On GameFAQs,E10+
Heroes of Hammerwatch - Ultimate Edition,85,8,7.5,11,Crackshell,"Role-Playing,Action RPG",Up to 4,On GameFAQs,T
West of Loathing,85,17,7.9,63,Asymmetric Publications,"Role-Playing,General",No Online Multiplayer,On GameFAQs,T
Tangle Tower,85,11,7.9,21,SFB Games,"Action,Adventure,General",No Online Multiplayer,On GameFAQs,T
Steins;Gate Elite,85,9,8,69,"5pb,Mages.","Action,Adventure,General,Visual Novel",No Online Multiplayer,On GameFAQs,M
Darkest Dungeon,85,18,8,161,Red Hook Studios,"Role-Playing,General",No Online Multiplayer,On GameFAQs,T
Mutant Mudds Collection,85,10,8.1,35,"Renegade Kid,Atooi LLC","Action,Miscellaneous,Platformer,Compilation,2D",No Online Multiplayer,On GameFAQs,E
NeuroVoider,85,10,8,38,Flying Oak Games,"Action,Shooter,Shoot-'Em-Up,Top-Down",,On GameFAQs,E10+
Kirby and the Forgotten Land,85,119,9,394,"Nintendo,HAL Labs","Action,Platformer,3D",No Online Multiplayer,On GameFAQs,E10+
Final Fantasy X / X-2 HD Remaster,85,27,7.4,128,Square Enix,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,T
Mario + Rabbids: Kingdom Battle,85,104,8.4,1211,"Ubisoft,Ubisoft Paris,Ubisoft Milan","Action,General,Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,E10+
Disgaea 4 Complete+,85,9,7.2,28,Nippon Ichi Software,"Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,T
Keep Talking and Nobody Explodes,84,10,7.8,13,Steel Crate Games,"Adventure,3D,First-Person",Up to 4,On GameFAQs,E10+
Shantae: Half-Genie Hero - Ultimate Edition,84,11,7.9,88,WayForward,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,T
Lonely Mountains: Downhill,84,17,7.5,51,Megagon Industries,"Sports,Individual,Biking",No Online Multiplayer,On GameFAQs,E10+
Thronebreaker: The Witcher Tales,84,17,6.9,100,CD Projekt Red Studio,"Strategy,Turn-Based,Card Battle",No Online Multiplayer,On GameFAQs,T
Shin Megami Tensei V,84,98,7.5,668,Atlus,"Role-Playing,General",No Online Multiplayer,On GameFAQs,M
Valkyria Chronicles,84,8,8.4,62,Sega,"Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,T
Shovel Knight: Specter of Torment,84,21,8.1,133,Yacht Club Games,"Action,Platformer,2D",,On GameFAQs,E
80 DAYS,84,9,7.8,10,inkle,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,E10+
WHAT THE GOLF?,84,26,8.2,53,Triband,"Sports,Individual,Golf,Arcade",No Online Multiplayer,On GameFAQs,E10+
Toki Tori 2 +,84,13,8,24,Two Tribes,"Puzzle,Action",No Online Multiplayer,On GameFAQs,E
Bayonetta,84,23,8.2,214,"Nintendo,PlatinumGames","Action Adventure,Linear",No Online Multiplayer,On GameFAQs,M
Mega Man X Legacy Collection,84,16,8.3,85,"Capcom,M2","Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,T
Rayman Legends: Definitive Edition,84,35,8.4,247,"Ubisoft Montpellier,Pasta Games","Action,Platformer,2D",,On GameFAQs,E10+
SNK vs. Capcom: Card Fighters' Clash,84,16,3.4,5,SNK,"Strategy,Turn-Based,Card Battle",No Online Multiplayer,On GameFAQs,E
The Elder Scrolls V: Skyrim,84,63,8.3,633,"Bethesda Game Studios,Iron Galaxy Studios","Role-Playing,Western-Style",No Online Multiplayer,On GameFAQs,M
Mushihimesama,84,13,7,5,Cave,"Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer,On GameFAQs,E10+
Child of Light,84,12,8.3,93,Ubisoft Montreal,"Role-Playing,General",No Online Multiplayer,On GameFAQs,E10+
Wargroove,84,42,7.3,178,Chucklefish,"General,Strategy,Turn-Based,Tactics",Up to 4,On GameFAQs,E10+
Lovers in a Dangerous Spacetime,84,9,8,53,Asteroid Base,"Action,Shooter,Shoot-'Em-Up,Horizontal",No Online Multiplayer,On GameFAQs,E10+
BioShock: The Collection,84,35,8.5,140,"2K Games,Virtuos","Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,M
The Legend of Heroes: Trails of Cold Steel III,84,16,7.9,38,"Falcom,Engine Software","Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,T
"Snipperclips Plus: Cut It Out, Together!",84,13,8.1,89,SFB Games,"Puzzle,General",No Online Multiplayer,On GameFAQs,E
Infernax,84,13,6.9,17,Berzerk Studio,"Action,Action Adventure,Platformer,Open-World,Metroidvania",No Online Multiplayer,On GameFAQs,M
Atelier Ryza: Ever Darkness & the Secret Hideout,84,13,8,94,Gust,"General,Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,T
Danmaku Unlimited 3,84,7,8.1,27,Doragon Entertainment,"Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer,On GameFAQs,E10+
Sega Ages: Fantasy Zone,84,10,7.9,12,Rutubo Games,"Action,Shooter,Shoot-'Em-Up,Horizontal",No Online Multiplayer,On GameFAQs,E
Loop Hero,84,19,7.5,33,Four Quarters,"Role-Playing,General",,On GameFAQs,T
Baba Is You,84,24,8,101,"Hempuli Oy,MP2 Games","Action Adventure,Puzzle,Action,General",No Online Multiplayer,On GameFAQs,E
Sayonara Wild Hearts,84,31,8.1,76,Simogo,"Action,Rhythm,Music",No Online Multiplayer,On GameFAQs,E10+
Timespinner,84,10,7.4,38,Lunar Ray Games,"Action,Platformer,2D",Online Multiplayer,On GameFAQs,T
Ape Out,84,31,6.4,93,Gabe Cuzzillo,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,T
To the Moon,84,16,8.3,67,"Freebird Games,X.D. Network Inc.","Adventure,General",No Online Multiplayer,On GameFAQs,T
Sega Ages: OutRun,84,8,7.8,31,"Sega,M2","Racing,Arcade,Automobile",No Online Multiplayer,On GameFAQs,E
Retro Bowl,84,7,6.1,15,Five Aces Publishing Ltd.,"Sports,Strategy,Management,Team,Football,Business / Tycoon,Sim",No Online Multiplayer,On GameFAQs,E
ENDER LILIES: Quietus of the Knights,84,16,8.1,48,"Live Wire Films,Live Wire","Action,Action Adventure,Platformer,Open-World,Metroidvania",No Online Multiplayer,On GameFAQs,T
Super Meat Boy,84,13,7.9,90,Team Meat,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,T
Ni no Kuni: Wrath of the White Witch,84,23,7.7,120,"Level 5,Engine Software","Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,E10+
World of Goo,84,12,7.7,94,Tomorrow Corporation,"Puzzle,Action",,On GameFAQs,E
Just Shapes & Beats,83,17,8.4,61,Berzerk Studio,"Action,Rhythm,Music",Online Multiplayer,On GameFAQs,E10+
VA-11 Hall-A: Cyberpunk Bartender Action,83,23,8.2,78,Sukeban Games,"Simulation,General",No Online Multiplayer,On GameFAQs,M
Castlevania Advance Collection,83,16,8.2,33,"Konami,M2","Miscellaneous,Compilation",,On GameFAQs,T
Lumines Remastered,83,18,8.1,32,Enhance Games,"Puzzle,Matching",No Online Multiplayer,On GameFAQs,E10+
Fortnite,83,10,4.9,675,Epic Games,"Action,Shooter,Third-Person,Tactical",Massively Multiplayer,On GameFAQs,T
Tetris 99,83,27,8.1,283,"Arika,Nintendo","Puzzle,Stacking",Up to more than 64,On GameFAQs,E
Tales of Vesperia: Definitive Edition,83,27,7.8,169,Bandai Namco Games,"Role-Playing,Action RPG",Online Multiplayer,On GameFAQs,T
Spiritfarer,83,22,8.2,84,Thunder Lotus Games,"Action Adventure,Sandbox",No Online Multiplayer,On GameFAQs,T
Alien: Isolation,83,27,8.6,105,"Creative Assembly,Feral Interactive","Action Adventure,Survival",No Online Multiplayer,On GameFAQs,M
Mega Man Legacy Collection,83,10,8.3,86,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,E
Ring Fit Adventure,83,45,8.6,263,Nintendo,"Miscellaneous,Exercise / Fitness",No Online Multiplayer,On GameFAQs,E10+
Danganronpa Decadence,83,19,7.9,16,Spike Chunsoft,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,M
Duck Game,83,9,8,35,Landon Podbielski,"Action,General,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Splatoon 2,83,100,8.4,1339,Nintendo,"Action,Shooter,Third-Person,Arcade",Up to 8,On GameFAQs,E10+
Shovel Knight Pocket Dungeon,83,8,7.3,9,Vine,"General,Puzzle,Action",,On GameFAQs,E
Knockout City,83,9,5.6,24,Velan Studios,"Action,Sports,General,Team,Other",Up to 8,On GameFAQs,E10+
Knights and Bikes,83,7,7.6,13,Foam Sword Games,"Action Adventure,General",No Online Multiplayer,On GameFAQs,E10+
Shovel Knight: King of Cards,83,19,8,30,Yacht Club Games,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
The Banner Saga 3,83,9,8.2,31,Stoic,"Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,T
Octopath Traveler,83,79,8.5,1271,"Square Enix,Acquire","General,Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,T
